Referencia;Cant. disponible;Notas ítem;Bodega;LINEA DE NEGOCIO;CLASIFICACION;MARCA;
UTPCAT5EXT;0.00;CARRETA DE CABLE UTP CAT 5 EXTERIOR 100% COBRE 305MTS COLOR NEGRO;101;05 - TRANSMISION;0501 - CABLEADO                                ;0001 - GENERICO                                ;
DH-HAC-HFW1209CN-LED-0280B;5.00;CAMARA 4 EN 1 FULLCOLOR 1080P TIPO BALA_x000D_ SEMIMETALICA 2,8MM FOV 106° LUZ VISIBLE 20M IP67;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-HFW1209CN-LED-0280B;1.00;CAMARA 4 EN 1 FULLCOLOR 1080P TIPO BALA_x000D_ SEMIMETALICA 2,8MM FOV 106° LUZ VISIBLE 20M IP67;105;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-D1A21N-0280B;6.00;"DOMO PLASTICO HDCVI/CVBS, 1080P, 1/2.7"" CMOS, 2.8MM, IR LEDS 20M";101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-B1A21N-0280B;15.00;"CAMARA 4 EN 1 1/2,7"" CMOS 1080P TIPO BALA PLASTICA LENTE 2,8MM FOV 103° DWDR IR 20M IP67";101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-B1A21N-0280B;0.00;"CAMARA 4 EN 1 1/2,7"" CMOS 1080P TIPO BALA PLASTICA LENTE 2,8MM FOV 103° DWDR IR 20M IP67";103;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-B1A21N-0280B;1.00;"CAMARA 4 EN 1 1/2,7"" CMOS 1080P TIPO BALA PLASTICA LENTE 2,8MM FOV 103° DWDR IR 20M IP67";105;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-HDW1209TLQN-LED-0280B;4.00;CAMARA 4 EN 1 FULLCOLOR 1080P TIPO DOMO SEMIMETALICO 2,8MM FOV 106° LUZ VISIBLE 20M IP67;101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-HDW1209TLQN-LED-0280B;0.00;CAMARA 4 EN 1 FULLCOLOR 1080P TIPO DOMO SEMIMETALICO 2,8MM FOV 106° LUZ VISIBLE 20M IP67;201;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-HDW1209TLQN-LED-0280B;0.00;CAMARA 4 EN 1 FULLCOLOR 1080P TIPO DOMO SEMIMETALICO 2,8MM FOV 106° LUZ VISIBLE 20M IP67;103;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-B2A21N-0360B;1.00;"BALA METALICA HDCVI/CVBS, 1080P, 1/2.7"" CMOS, 3.6MM, IR LEDS 20M";101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-B2A21N-0360B;0.00;"BALA METALICA HDCVI/CVBS, 1080P, 1/2.7"" CMOS, 3.6MM, IR LEDS 20M";103;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-HDW1200MN-0280B;2.00;"PREMIUM CAMARA 4 EN 1 1/2,7"" CMOS 1080P TIPO DOMO METALICO LENTE 2,8MM FOV 103° DWDR IR 30M IP67";101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
DH-HAC-HDW1200MN-0280B;0.00;"PREMIUM CAMARA 4 EN 1 1/2,7"" CMOS 1080P TIPO DOMO METALICO LENTE 2,8MM FOV 103° DWDR IR 30M IP67";103;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
IPC-A22EN-A-IMOU;0.00;CAMARA IP PT 1080P@15FPS 3,6MM WIFI H.265 DETECCION DE SONIDO ANORMAL PAN 0°~355° TILT -5°~90° IR10M;101;02 - CCTV;0205 - CONSUMER                                ;0010 - DAHUA                                   ;
IPC-A22EN-A-IMOU;0.00;CAMARA IP PT 1080P@15FPS 3,6MM WIFI H.265 DETECCION DE SONIDO ANORMAL PAN 0°~355° TILT -5°~90° IR10M;103;02 - CCTV;0205 - CONSUMER                                ;0010 - DAHUA                                   ;
DH-XVR1B04-I;4.00;XVR 4CH + 1CH IP GRABACION HASTA 1080N HDMI 1 E/S RCA 1 SATA H.265+ AI CODING SMDPLUS;101;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0010 - DAHUA                                   ;
DH-XVR1B04-I;0.00;XVR 4CH + 1CH IP GRABACION HASTA 1080N HDMI 1 E/S RCA 1 SATA H.265+ AI CODING SMDPLUS;201;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0010 - DAHUA                                   ;
DH-XVR1B04-I;0.00;XVR 4CH + 1CH IP GRABACION HASTA 1080N HDMI 1 E/S RCA 1 SATA H.265+ AI CODING SMDPLUS;103;02 - CCTV;0207 - GRABADORES ANALOGOS                     ;0010 - DAHUA                                   ;
DH-HAC-T1A21N-0360B;0.00;"DOMO PLÁSTICO HDCVI/CVBS, 1080P, 1/2.7"" CMOS, 3.6MM, IR LEDS 20M,";101;02 - CCTV;0202 - CAMARAS ANALOGAS                        ;0010 - DAHUA                                   ;
